card_imageName,HD_Timestamp,hd_filename
cd_04514,1386816985,cd_04514.1386816985
cd_04515,1386816985,cd_04515.1386816985
cd_04520,1386816982,cd_04520.1386816982
cd_04521,1386816982,cd_04521.1386816982
cd_04530,1385088754,cd_04530.1385088754
cd_04531,1385088754,cd_04531.1385088754
cd_04533,1385088755,cd_04533.1385088755
cd_04534,1385088755,cd_04534.1385088755
cd_04535,1385088755,cd_04535.1385088755
cd_04540,1385088753,cd_04540.1385088753
cd_04541,1385088754,cd_04541.1385088754
cd_04550,1385088752,cd_04550.1385088752
cd_04551,1385088753,cd_04551.1385088753
cd_04560,1387346923,cd_04560.1387346923
cd_04561,1387346924,cd_04561.1387346924
cd_04562,1387346924,cd_04562.1387346924
cd_04570,1387346909,cd_04570.1387346909
cd_04571,1387346910,cd_04571.1387346910
cd_04576,1417142943,cd_04576.1417142943
cd_04580,1399007306,cd_04580.1399007306
cd_04581,1399007307,cd_04581.1399007307
cd_04590,1387346910,cd_04590.1387346910
cd_04591,1387346910,cd_04591.1387346910
cd_04596,1422845860,cd_04596.1422845860
cd_04600,1365994693,cd_04600.1365994693
cd_04601,1365994693,cd_04601.1365994693
cd_04610,1387346906,cd_04610.1387346906
cd_04611,1387346907,cd_04611.1387346907
cd_04620,1393209911,cd_04620.1393209911
cd_04621,1393209912,cd_04621.1393209912
cd_04623,1393209912,cd_04623.1393209912
cd_04624,1393209912,cd_04624.1393209912
cd_04625,1393209912,cd_04625.1393209912
cd_04630,1387346911,cd_04630.1387346911
cd_04631,1387346911,cd_04631.1387346911
cd_04636,1434336333,cd_04636.1434336333
cd_04640,1384397997,cd_04640.1384397997
cd_04641,1384397997,cd_04641.1384397997
cd_04643,1384397997,cd_04643.1384397997
cd_04644,1384397998,cd_04644.1384397998
cd_04645,1384397998,cd_04645.1384397998
cd_04650,1384397990,cd_04650.1384397990
cd_04651,1384397991,cd_04651.1384397991
cd_04653,1384397991,cd_04653.1384397991
cd_04654,1384397991,cd_04654.1384397991
cd_04655,1384397991,cd_04655.1384397991
cd_04660,1384397998,cd_04660.1384397998
cd_04661,1384397999,cd_04661.1384397999
cd_04663,1384397999,cd_04663.1384397999
cd_04664,1384397999,cd_04664.1384397999
cd_04665,1384397999,cd_04665.1384397999
cd_04670,1384397989,cd_04670.1384397989
cd_04671,1384397989,cd_04671.1384397989
cd_04673,1384397989,cd_04673.1384397989
cd_04674,1384397990,cd_04674.1384397990
cd_04675,1384397990,cd_04675.1384397990
cd_04680,1384397988,cd_04680.1384397988
cd_04681,1384397989,cd_04681.1384397989
cd_04690,1386816975,cd_04690.1386816975
cd_04691,1386816975,cd_04691.1386816975
cd_04693,1386816975,cd_04693.1386816975
cd_04694,1386816975,cd_04694.1386816975
cd_04695,1386816976,cd_04695.1386816976
cd_04700,1394420445,cd_04700.1394420445
cd_04701,1394420445,cd_04701.1394420445
cd_04710,1386816983,cd_04710.1386816983
cd_04711,1386816984,cd_04711.1386816984
cd_04713,1386816984,cd_04713.1386816984
cd_04714,1386816984,cd_04714.1386816984
cd_04715,1386816984,cd_04715.1386816984
cd_04720,1386816987,cd_04720.1386816987
cd_04721,1386816987,cd_04721.1386816987
cd_04723,1386816988,cd_04723.1386816988
cd_04724,1386816988,cd_04724.1386816988
cd_04725,1386816988,cd_04725.1386816988
cd_04730,1386816979,cd_04730.1386816979
cd_04731,1386816979,cd_04731.1386816979
cd_04740,1386816987,cd_04740.1386816987
cd_04741,1386816987,cd_04741.1386816987
cd_04770,1389754940,cd_04770.1389754940
cd_04771,1389754940,cd_04771.1389754940
cd_04780,1388028295,cd_04780.1388028295
